condition,xle_mac,xb_mac,xb_version,xle_ip,access_result
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,TG4482PC2,SKIPPED_TG4482PC2,SKIPPED_TG4482PC2
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,TG4482PC2,SKIPPED_TG4482PC2,SKIPPED_TG4482PC2
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,TG4482PC2,SKIPPED_TG4482PC2,SKIPPED_TG4482PC2
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,TG4482PC2,SKIPPED_TG4482PC2,SKIPPED_TG4482PC2
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_SSH_TIMEOUT
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_CONN_REFUSED
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_PASSWORD_PROMPT
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_PASSWORD_PROMPT
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_PASSWORD_PROMPT
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_PASSWORD_PROMPT
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_CONN_REFUSED
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XB_TIMEOUT,XB_TIMEOUT
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_PASSWORD_PROMPT
UNAVAILABLE,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_CONN_REFUSED
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_CONN_REFUSED
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_CONN_REFUSED
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_CONN_REFUSED
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_CONN_REFUSED
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XB_TIMEOUT,XB_TIMEOUT
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_PASSWORD_PROMPT
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_PASSWORD_PROMPT
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_CONN_REFUSED
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_CONN_REFUSED
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,TG4482PC2,SKIPPED_TG4482PC2,SKIPPED_TG4482PC2
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XB_INACCESSIBLE,XB_INACCESSIBLE
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XB_TIMEOUT,XB_TIMEOUT
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XB_TIMEOUT,XB_TIMEOUT
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_PASSWORD_PROMPT
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XB_TIMEOUT,XB_TIMEOUT
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
EXCELLENT,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
GOOD,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
FAIR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,NO_XLE_IN_ARP,NO_XLE_IN_ARP
POOR,XX:XX:XX:XX:XX:XX,XX:XX:XX:XX:XX:XX,unknown,XX.XX.XX.XX,XLE_ACCESSIBLE
